RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,W1-mag,W1-mag Error,W2-mag,W2-mag Error
24.43693935587886,9.136170808398713,-49.2,2.8,-145.1,2.4,25.7,4.5,PSO J024.4369+09.1360     ,T3.5        ,15.563,0.04,14.449,0.048
24.65282608578514,-3.372656379340689,112.1,2.7,-307.8,3.2,43.9,2.9,WISEPC J013836.59-032221.2,T3          ,14.416,0.029,13.393,0.03
25.452850713915982,-16.021898897487304,198.2,3.5,55.5,5.5,28.8,5.8,2MASS J01414839-1601196   ,L7:         ,13.685,0.025,13.262,0.03
26.148414422845295,-7.2711865811494745,372.3,4.2,-200.5,4.6,81.7,3.7,2MASS J01443536-0716142   ,L5          ,11.626,0.024,11.371,0.021
27.54564917445142,38.45679772062461,878.2,2.1,-125.1,2.1,39.8,4.6,WISEPA J015010.86+382724.3,T0          ,13.647,0.025,13.039,0.031
27.601462652895304,13.990016184855829,27.8,1.4,20.3,1.5,37.9,2.2,ULAS J015024.37+135924.0  ,T7.5        ,17.505,0.165,15.235,0.088
28.766608282000412,9.833240043871477,323.0,2.5,-94.9,3.5,39.0,2.7,2MASS J01550354+0950003   ,L3.2 (INT-G),12.561,0.023,12.21,0.023
31.265670479961678,12.861713418176235,364.6,2.4,-29.5,2.7,42.5,3.0,2MASSW J0205034+125142    ,L5.5        ,12.939,0.024,12.558,0.024
31.565975520429422,20.909804323469086,235.0,1.9,-95.2,1.3,37.0,2.2,PSO J031.5651+20.9097     ,T5.5        ,16.485,0.074,14.736,0.065
32.07789861092915,25.714734030563218,374.2,3.3,-36.4,3.9,45.5,5.7,2MASSW J0208183+254253    ,            ,12.192,0.023,11.955,0.022
32.09994730730758,27.627431686326286,205.2,2.9,-115.9,2.8,21.3,2.7,2MASSW J0208236+273740    ,L5          ,13.298,0.024,12.997,0.029
33.36983103036535,44.74549429083064,-61.8,2.5,-148.8,2.9,54.3,2.6,2MASSI J0213288+444445    ,            ,11.872,0.023,11.614,0.021
35.27483961683953,38.70107093603674,133.9,1.7,-27.2,1.5,37.7,2.0,WISEPA J022105.94+384202.9,T6.5        ,16.73,0.081,14.812,0.058
36.59918153925776,-2.1950266060445522,-291.8,1.8,-433.5,1.4,51.1,2.3,WISEPA J022623.98-021142.8,T7          ,17.413,0.131,14.518,0.047
36.79582287070653,-16.41410984484486,437.3,3.6,-312.0,4.7,47.5,4.0,2MASS J02271036-1624479   ,L0.5:       ,11.785,0.023,11.567,0.022
37.04685390790183,25.627180737682483,242.3,2.8,-33.1,3.2,28.7,2.7,2MASSW J0228110+253738    ,L0          ,12.133,0.024,11.888,0.022
37.17931934284449,16.657890575512027,395.8,2.7,-440.1,2.4,46.5,3.5,2MASS J02284243+1639329   ,M8.7        ,11.556,0.023,11.332,0.023
37.66304418636636,-2.4316074077745435,324.4,3.4,56.4,2.9,35.1,3.9,WISE J023038.90-022554.0  ,L8:pec      ,14.256,0.026,13.652,0.034
38.325367682111086,30.508505701085856,-132.0,1.8,-29.9,1.6,28.2,2.6,WISE J023318.05+303030.5  ,T6          ,16.403,0.066,14.341,0.046
41.542960260385385,1.9456894161333815,47.6,2.0,-76.8,1.6,33.2,2.4,PSO J041.5426+01.9456     ,L8.5        ,14.285,0.027,13.689,0.036
41.81069435516131,37.42306423563766,28.9,1.4,-88.0,1.2,64.8,2.0,WISE J024714.52+372523.5  ,T8          ,18.485,0.434,14.624,0.064
46.39082225025715,39.909668111200546,273.0,1.5,4.7,1.5,27.8,2.0,WISEPA J030533.54+395434.4,T6          ,16.769,0.099,14.67,0.058
49.06123159115402,38.335544868372416,-93.8,2.3,-307.9,2.2,34.1,3.3,WISE J031614.68+382008.0  ,T3          ,14.699,0.033,13.509,0.033
51.47045899120371,4.4277916720242905,-178.5,2.6,-74.0,2.4,44.0,3.2,SDSS J032553.17+042540.1  ,T5.5        ,15.894,0.053,13.81,0.037
52.274423548387716,13.375481731520978,273.0,2.0,-20.7,2.0,44.3,3.0,PSO J052.2746+13.3754     ,T3.5        ,15.296,0.042,14.255,0.051
52.721141517624346,-3.840895379624422,-141.0,2.4,64.0,2.7,57.1,3.5,PSO J052.7214-03.8409     ,L9:         ,13.644,0.025,12.955,0.029
54.21660096013029,28.441369414123923,106.9,1.8,-177.1,2.2,28.8,3.4,WISE J033651.90+282628.8  ,T5          ,15.86,0.058,14.329,0.052
54.265619357167886,-17.9684089729485,200.2,4.1,93.8,4.7,30.7,4.8,2MASSW J0337036-175807    ,L4.3 (FLD-G),12.842,0.024,12.488,0.024
57.770123319748926,48.17939360906657,289.2,2.7,-194.4,2.5,28.5,4.3,SDSS J035104.37+481046.8  ,T1:         ,14.543,0.031,13.92,0.035
60.40389104517544,28.831053570902426,-466.1,2.7,-103.7,3.0,72.5,3.1,WISE J040137.21+284951.7  ,L2.5        ,11.282,0.023,11.003,0.02
61.075031919773096,41.459864904817145,-55.9,3.3,-398.2,3.8,59.4,4.2,WISE J040418.01+412735.6  ,L2pec       ,11.852,0.022,11.563,0.023
61.78790903143029,15.248783129798065,211.8,2.4,-127.5,2.0,55.4,2.7,2MASS J04070885+1514565   ,T5          ,15.473,0.045,13.912,0.043
62.12234968346648,-14.842966498450874,202.8,2.8,-114.4,2.7,48.9,4.7,2MASSI J0408290-145033    ,L4.5        ,12.386,0.024,12.098,0.022
62.346861606884914,11.17955564764117,-162.8,2.2,-78.0,2.6,45.7,2.7,PSO J062.3459+11.1794     ,T3.5        ,15.268,0.04,14.108,0.044
66.0746184473234,7.462003555423481,421.6,1.0,-933.5,1.1,43.7,1.5,WISE J042417.94+072744.1  ,T7.5        ,18.083,0.302,15.319,0.105
69.73089798689348,4.383530226036541,131.7,4.4,10.1,3.4,36.6,5.7,PSO J069.7303+04.3834     ,T2          ,14.258,0.027,13.596,0.034
71.87680265191068,-12.271214768793694,-6.3,2.6,-99.1,2.3,23.0,3.9,PSO J071.8769-12.2713     ,T2:         ,14.825,0.029,14.236,0.039
71.92982180389599,-19.60096967074141,87.4,4.2,85.3,4.2,20.7,5.0,2MASS J04474307-1936045   ,L4:         ,13.438,0.024,13.052,0.026
72.22208726007214,-19.596604693307636,896.8,1.7,758.1,1.8,55.3,3.4,WISEPA J044853.29-193548.5,T5pec       ,16.285,0.057,14.238,0.042
73.3605200675099,-17.865103434640044,34.7,4.9,-24.0,3.9,37.4,5.7,2MASSI J0453264-175154    ,L2.5 (INT-G),12.952,0.024,12.608,0.023
74.44245810810014,-2.121979449129144,93.0,3.0,-105.2,2.2,82.0,2.9,WISE J045746.08-020719.2  ,T2          ,13.363,0.025,12.43,0.023
75.01264855903082,-12.395181840735084,-533.6,1.6,490.5,1.9,84.6,2.2,WISEPA J050003.05-122343.2,T8          ,17.447,0.151,13.979,0.038
76.70945484190142,52.60876038198396,49.8,3.3,-205.9,3.8,59.6,5.4,PSO J076.7092+52.6087     ,T4.5        ,14.921,0.035,13.639,0.034
80.36038957988332,10.424521477737654,216.0,5.2,-418.2,2.8,141.2,4.8,WISE J052126.29+102528.4  ,T7.5        ,14.105,0.031,12.291,0.024
84.98663804037626,-10.577023485127322,-258.1,1.8,-363.0,1.2,31.0,2.8,WISEPA J053957.02-103436.5,T5.5        ,16.843,0.11,14.888,0.063
85.10817388323503,-18.044492285699683,-94.0,3.0,-10.3,2.3,59.2,4.0,PSO J085.1080-18.0445     ,T5          ,15.808,0.048,14.299,0.045
85.6297995459305,-16.47467663884313,-219.3,2.5,299.3,2.4,61.3,2.6,WISEPA J054231.26-162829.1,T6.5        ,16.226,0.06,13.954,0.038
86.50502652123653,-9.996462458179307,-7.9,2.8,-8.7,2.1,50.4,3.6,WISE J054601.19-095947.5  ,T5          ,15.901,0.053,13.907,0.037
87.53377500960173,16.181098743323354,242.3,4.3,-302.1,3.3,53.9,2.8,WISEA J055007.94+161051.9 ,L2          ,12.346,0.024,12.039,0.024
87.77495190913224,-12.653722808023634,-140.3,2.7,-59.4,2.2,34.5,3.4,PSO J087.7749-12.6537     ,L8          ,13.855,0.027,13.347,0.031
88.57104949893659,-0.14290753551862018,16.4,1.9,-103.8,2.0,31.7,3.4,PSO J088.5709-00.1430     ,T4.5        ,15.591,0.048,14.277,0.047
89.17502143643675,-9.45126376504243,-112.3,2.0,-115.1,2.1,44.3,2.5,PSO J089.1751-09.4513     ,T5.5        ,16.067,0.059,14.547,0.05
90.52823166990098,40.73240368527185,229.9,2.9,-225.7,2.9,65.1,4.2,2MASS J06020638+4043588   ,T4.5        ,15.175,0.039,13.589,0.035
91.92621983695248,45.84356761545775,106.9,3.6,-564.2,4.1,33.6,3.5,WISEA J060742.13+455037.0 ,L2.5        ,12.86,0.024,12.541,0.024
93.6583329370244,9.859788817335675,387.5,1.7,-156.2,1.5,56.7,2.0,WISE J061437.73+095135.0  ,T7          ,16.623,0.107,14.237,0.053
93.65895042638266,39.842490063218925,-31.9,1.7,-264.9,1.8,44.0,2.6,2MASS J06143818+3950357   ,L9:         ,14.25,0.029,13.633,0.035
96.42605175305813,56.77377229816746,-49.9,2.5,-22.3,2.5,44.4,3.4,WISEPA J062542.21+564625.5,T6          ,16.514,0.075,14.431,0.049
97.2713902248221,24.301272013524706,-6.4,2.5,-352.6,2.0,33.0,3.1,WISE J062905.13+241804.9  ,T2          ,14.371,0.032,13.647,0.04
101.96222924176152,-15.771176680174875,110.8,3.9,123.2,3.2,47.6,3.9,WISEA J064750.85-154616.4 ,L9.5        ,13.043,0.024,12.515,0.024
103.09272242815175,41.46003983943643,-1.7,2.9,-38.2,2.2,45.1,3.7,PSO J103.0927+41.4601     ,T0          ,13.148,0.023,12.443,0.026
103.1272277047725,47.17682754167898,-119.6,3.2,128.0,3.9,107.2,3.3,2MASSI J0652307+471034    ,L6.5        ,10.879,0.024,10.508,0.02
104.04171974029632,42.09229293344595,321.0,4.7,155.5,2.9,63.0,4.1,WISEPA J065609.60+420531.0,T3          ,14.3,0.029,13.228,0.029
108.96811554329709,-11.759121253246517,697.4,3.8,-383.3,3.0,57.9,3.7,WISEA J071552.38-114532.9 ,L4pec       ,12.303,0.024,12.07,0.022
110.81138717140678,57.45150172481641,56.0,6.5,-216.5,7.9,42.0,3.3,2MASS J07231462+5727081   ,L0.2        ,12.279,0.023,12.052,0.023
115.45475730111006,23.857094147154815,-257.5,3.6,-220.1,2.5,53.0,3.7,SDSS J074149.15+235127.5  ,T5          ,15.9,0.055,14.119,0.045
115.49105643875198,5.5318487940469385,-8.7,4.4,-221.7,2.2,36.2,4.4,2MASS J07415784+0531568   ,L1.5        ,12.694,0.022,12.432,0.024
115.50305009376446,20.92136101830984,-334.4,3.5,-226.7,3.9,58.4,3.3,SDSS J074201.41+205520.5  ,T5          ,15.668,0.051,13.8,0.039
116.23875702875849,56.472376313924926,156.0,2.4,-762.0,2.8,67.6,2.1,WISEPA J074457.15+562821.8,T8          ,17.181,0.118,14.531,0.049
117.05647253011264,-1.6775765814228911,-360.6,2.5,-360.2,2.3,42.6,3.7,PSO J117.0600-01.6779     ,T5.5        ,16.84,0.102,16.308,0.232
118.94976812158791,22.203940461554872,-23.1,3.7,-265.1,3.0,58.9,3.3,2MASSI J0755480+221218    ,T5          ,15.336,0.042,13.51,0.032
119.66830345645818,32.78900492447292,-232.1,6.6,-335.6,4.7,93.7,4.4,SDSS J075840.33+324723.4  ,T2          ,13.088,0.024,12.17,0.024
