RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,J-mag,J-mag Error,H-mag,H-mag Error,K-mag,K-mag Error
25.4535453136287,-16.022083897487303,198.2,3.5,55.5,5.5,28.8,5.8,2MASS J01414839-1601196   ,L7:         ,16.209,0.091,15.161,0.065,14.344,0.068
26.14615866373081,-7.270518247816141,372.3,4.2,-200.5,4.6,81.7,3.7,2MASS J01443536-0716142   ,L5          ,14.191,0.026,13.008,0.029,12.268,0.023
27.541619907899722,38.457214720624606,878.2,2.1,-125.1,2.1,39.8,4.6,WISEPA J015010.86+382724.3,T0          ,16.111,0.077,15.018,0.08,14.477,0.071
31.264400156574126,12.861811751509569,364.6,2.4,-29.5,2.7,42.5,3.0,2MASSW J0205034+125142    ,L5.5        ,15.679,0.056,14.449,0.047,13.671,0.036
31.567641992204162,20.910121656802417,235.0,1.9,-95.2,1.3,37.0,2.2,PSO J031.5651+20.9097     ,T5.5        ,16.204,0.085,15.624,0.098,15.043,0.122
32.07640549713531,25.71485536389655,374.2,3.3,-36.4,3.9,45.5,5.7,2MASSW J0208183+254253    ,            ,13.989,0.026,13.107,0.03,12.588,0.027
32.10080458051363,27.62781801965962,205.2,2.9,-115.9,2.8,21.3,2.7,2MASSW J0208236+273740    ,L5          ,15.714,0.061,14.56,0.06,13.872,0.051
33.37011605615113,44.74599029083064,-61.8,2.5,-148.8,2.9,54.3,2.6,2MASSI J0213288+444445    ,            ,13.494,0.025,12.757,0.024,12.213,0.023
37.045936367541714,25.62729107101582,242.3,2.8,-33.1,3.2,28.7,2.7,2MASSW J0228110+253738    ,L0          ,13.839,0.027,12.993,0.024,12.471,0.025
38.32608225149429,30.508605367752523,-132.0,1.8,-29.9,1.6,28.2,2.6,WISE J023318.05+303030.5  ,T6          ,16.852,0.144,17.182,,17.042,
41.54339366309361,1.9459454161333813,47.6,2.0,-76.8,1.6,33.2,2.4,PSO J041.5426+01.9456     ,L8.5        ,16.876,,15.874,0.163,15.014,0.131
49.061620281281186,38.33657120170575,-93.8,2.3,-307.9,2.2,34.1,3.3,WISE J031614.68+382008.0  ,T3          ,16.059,0.086,15.44,0.106,15.265,0.145
52.273105008871774,13.375550731520978,273.0,2.0,-20.7,2.0,44.3,3.0,PSO J052.2746+13.3754     ,T3.5        ,16.479,0.108,15.837,0.123,15.606,0.275
52.72052740830384,-3.8411087129577552,-141.0,2.4,64.0,2.7,57.1,3.5,PSO J052.7214-03.8409     ,L9:         ,16.466,0.1,15.158,0.076,14.715,0.09
54.21696231170402,28.441959747457254,106.9,1.8,-177.1,2.2,28.8,3.4,WISE J033651.90+282628.8  ,T5          ,16.543,0.122,16.528,0.27,15.771,0.235
54.264570406677514,-17.968721639615165,200.2,4.1,93.8,4.7,30.7,4.8,2MASSW J0337036-175807    ,L4.3 (FLD-G),15.621,0.058,14.412,0.05,13.581,0.041
61.07480317942391,41.46119223815048,-55.9,3.3,-398.2,3.8,59.4,4.2,WISE J040418.01+412735.6  ,L2pec       ,14.146,0.031,13.098,0.031,12.42,0.024
61.78869666599988,15.249208129798065,211.8,2.4,-127.5,2.0,55.4,2.7,2MASS J04070885+1514565   ,T5          ,16.055,0.092,16.017,0.209,15.922,0.261
62.12339171439908,-14.84258516511754,202.8,2.8,-114.4,2.7,48.9,4.7,2MASSI J0408290-145033    ,L4.5        ,14.222,0.03,13.337,0.03,12.817,0.023
71.87682460016289,-12.270884435460362,-6.3,2.6,-99.1,2.3,23.0,3.9,PSO J071.8769-12.2713     ,T2:         ,16.478,0.114,15.989,0.171,15.553,0.217
71.92942315599848,-19.601254004074743,87.4,4.2,85.3,4.2,20.7,5.0,2MASS J04474307-1936045   ,L4:         ,15.969,0.065,14.785,0.059,14.012,0.054
72.21801589100697,-19.599131693307637,896.8,1.7,758.1,1.8,55.3,3.4,WISEPA J044853.29-193548.5,T5pec       ,16.921,0.159,16.914,,16.515,
73.36031103390425,-17.865023434640044,34.7,4.9,-24.0,3.9,37.4,5.7,2MASSI J0453264-175154    ,L2.5 (INT-G),15.142,0.035,14.06,0.035,13.466,0.035
74.44304994754873,-2.1216287824624773,93.0,3.0,-105.2,2.2,82.0,2.9,WISE J045746.08-020719.2  ,T2          ,14.897,0.04,14.198,0.046,14.022,0.055
76.70969274562574,52.6094467153173,49.8,3.3,-205.9,3.8,59.6,5.4,PSO J076.7092+52.6087     ,T4.5        ,15.746,0.071,15.354,0.106,15.596,0.199
85.10862597600763,-18.04445795236635,-94.0,3.0,-10.3,2.3,59.2,4.0,PSO J085.1080-18.0445     ,T5          ,15.992,0.084,16.164,0.204,16.255,
86.50499520877655,-9.996433458179308,-7.9,2.8,-8.7,2.1,50.4,3.6,WISE J054601.19-095947.5  ,T5          ,16.18,0.094,16.27,0.22,15.466,
87.53468220115069,16.18210574332335,242.3,4.3,-302.1,3.3,53.9,2.8,WISEA J055007.94+161051.9 ,L2          ,14.441,0.029,13.49,0.028,12.836,0.028
